code,name,지방세징수율제고노력도,지방세체납액축소노력도,경상세외수입확충노력도,세외수입체납액축소노력도,탄력세율적용노력도,인건비절감노력도,지방의회경비절감노력도,업무추진비절감노력도,행사축제경비절감노력도,민간이전경비절감노력도
24,광주 광산구,1.0036 ,-0.0363 ,1.0567 ,-0.0770 ,0.9884 ,0.0540 ,0.0852 ,0.0020 ,-0.0343 ,-0.1123 
37,경북 포항시,1.0023 ,-0.2124 ,1.0744 ,0.0328 ,0.9961 ,0.0486 ,0.0418 ,0.0147 ,0.3063 ,0.3662 
37,경북 칠곡군,1.0060 ,-0.3568 ,1.0637 ,-0.0381 ,0.9951 ,0.0209 ,0.0723 ,0.1174 ,-0.1744 ,-0.2338 
37,경북 청송군,1.0027 ,-0.1539 ,1.0583 ,-0.0608 ,0.9889 ,0.0468 ,0.2958 ,0.2435 ,-0.0397 ,-0.0109 
37,경북 청도군,0.9947 ,-0.2552 ,1.0711 ,0.0105 ,0.9916 ,-0.0001 ,0.0397 ,0.1838 ,0.0506 ,-0.0634 
37,경북 의성군,1.0228 ,0.0172 ,1.2041 ,-0.0624 ,0.9903 ,0.0129 ,0.2162 ,0.1179 ,-0.1761 ,-0.0982 
37,경북 울진군,1.0036 ,-0.0438 ,1.0735 ,0.0410 ,0.9936 ,-0.0073 ,0.2054 ,0.0210 ,0.0921 ,0.1327 
37,경북 울릉군,1.0017 ,-0.1428 ,1.0945 ,-0.3260 ,0.9872 ,0.0975 ,0.1771 ,0.0278 ,-0.0805 ,0.0216 
37,경북 예천군,1.0085 ,0.0048 ,1.0536 ,-0.0948 ,0.9888 ,-0.0148 ,0.1795 ,0.0371 ,0.4623 ,-0.2461 
37,경북 영천시,0.9967 ,-0.1061 ,1.1378 ,0.0015 ,0.9953 ,0.0093 ,0.0659 ,0.0857 ,0.2120 ,0.0703 
37,경북 영주시,0.9769 ,-0.2973 ,0.9679 ,-0.1681 ,0.9937 ,0.0346 ,0.0685 ,0.1629 ,0.0203 ,-0.3645 
37,경북 영양군,0.9925 ,-0.2049 ,1.0915 ,-0.0561 ,0.9850 ,0.0446 ,0.4433 ,0.1168 ,-0.0276 ,-0.1271 
37,경북 영덕군,1.0962 ,0.1681 ,1.1445 ,-0.1917 ,0.9895 ,0.0408 ,0.0544 ,0.0301 ,0.0044 ,-0.0270 
37,경북 안동시,1.0079 ,-0.1748 ,1.0677 ,-0.1834 ,0.9937 ,0.0411 ,0.0895 ,0.1011 ,0.2551 ,-0.0336 
